,type,url,name,image,description,rating,rating_count,content_rating,genre,keywords,date,actors,director,creator,duration,popularity,metascore,plot,interests,budget_amount,budget_currency,gross_amount,gross_currency
1,Movie,https://www.imdb.com/title/tt0111161/,The Shawshank Redemption,https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,"A Maine banker convicted of the murder of his wife and her lover in 1947 gradually forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple comp...",9.3,2933446,R,['Drama'],"prison,based on the works of stephen king,escape from prison,friendship between men,wrongful conviction",1994-10-14,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000209/', 'name': 'Tim Robbins'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000151/', 'name': 'Morgan Freeman'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0348409/', 'name': 'Bob Gunton'}]","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0001104/', 'name': 'Frank Darabont'}]","[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0040620/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000175/', 'name': 'Stephen King'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0001104/', 'name': 'Frank Darabont'}]",142,63.0,82.0,"A Maine banker convicted of the murder of his wife and her lover in 1947 gradually forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.","['Epic', 'Period Drama', 'Prison Drama', 'Tragedy', 'Drama']",25000000.0,USD,28767189.0,USD
2,Movie,https://www.imdb.com/title/tt0068646/,The Godfather,https://m.media-amazon.com/images/M/MV5BNTc0ZDk1YWItZDZiNi00NTdmLWE0MDctNTVhYTRhMDBmZjNjXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son, Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.",9.2,2044558,R,"['Crime', 'Drama']","mafia,patriarch,crime family,organized crime,gangster",1972-03-24,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000008/', 'name': 'Marlon Brando'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000199/', 'name': 'Al Pacino'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0001001/', 'name': 'James Caan'}]","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000338/', 'name': 'Francis Ford Coppola'}]","[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0023400/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0921482/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0255097/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0701374/', 'name': 'Mario Puzo'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000338/', 'name': 'Francis Ford Coppola'}]",175,73.0,100.0,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son, Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","['Epic', 'Gangster', 'Tragedy', 'Crime', 'Drama']",6000000.0,USD,136381073.0,USD
3,Movie,https://www.imdb.com/title/tt0468569/,The Dark Knight,https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_.jpg,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",9.0,2913889,PG-13,"['Action', 'Crime', 'Drama']","psychopath,superhero,moral dilemma,clown,criminal mastermind",2008-07-25,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000288/', 'name': 'Christian Bale'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0005132/', 'name': 'Heath Ledger'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0001173/', 'name': 'Aaron Eckhart'}]","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0634240/', 'name': 'Christopher Nolan'}]","[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0002663/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0159111/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0147954/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0634300/', 'name': 'Jonathan Nolan'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0634240/', 'name': 'Christopher Nolan'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0275286/', 'name': 'David S. Goyer'}]",152,90.0,84.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.","['Action Epic', 'Epic', 'Superhero', 'Action', 'Crime', 'Drama', 'Thriller']",185000000.0,USD,534987076.0,USD
4,Movie,https://www.imdb.com/title/tt0071562/,The Godfather Part II,https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",9.0,1382521,R,"['Crime', 'Drama']","revenge,sicily,sicilian mafia,mother son relationship,murder",1974-12-18,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000199/', 'name': 'Al Pacino'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000134/', 'name': 'Robert De Niro'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000380/', 'name': 'Robert Duvall'}]","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000338/', 'name': 'Francis Ford Coppola'}]","[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0023400/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0099634/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0020958/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000338/', 'name': 'Francis Ford Coppola'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0701374/', 'name': 'Mario Puzo'}]",202,239.0,90.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","['Epic', 'Gangster', 'Tragedy', 'Crime', 'Drama']",13000000.0,USD,47834595.0,USD
5,Movie,https://www.imdb.com/title/tt0050083/,12 Angry Men,https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,9.0,880835,B,"['Crime', 'Drama']","jury,murder,dialogue driven,trial,jury room",1957-04-10,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000020/', 'name': 'Henry Fonda'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0002011/', 'name': 'Lee J. Cobb'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000842/', 'name': 'Martin Balsam'}]","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0001486/', 'name': 'Sidney Lumet'}]","[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0032902/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0741627/', 'name': 'Reginald Rose'}]",96,329.0,97.0,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"['Legal Drama', 'Psychological Drama', 'Crime', 'Drama']",350000.0,USD,,
6,Movie,https://www.imdb.com/title/tt0108052/,Schindler&apos;s List,https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",9.0,1471096,R,"['Biography', 'Drama', 'History']","holocaust,nazi,nazi concentration camp,jew,german",1994-02-04,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000553/', 'name': 'Liam Neeson'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000146/', 'name': 'Ralph Fiennes'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0001426/', 'name': 'Ben Kingsley'}]","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000229/', 'name': 'Steven Spielberg'}]","[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0005073/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0009119/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0447745/', 'name': 'Thomas Keneally'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0001873/', 'name': 'Steven Zaillian'}]",195,234.0,95.0,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","['Epic', 'Historical Epic', 'Prison Drama', 'Biography', 'Drama', 'History']",22000000.0,USD,96898818.0,USD
7,Movie,https://www.imdb.com/title/tt0167260/,The Lord of the Rings: The Return of the King,https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,Gandalf and Aragorn lead the World of Men against Sauron&apos;s army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,9.0,2006896,PG-13,"['Action', 'Adventure', 'Drama']","journey,orc,hobbit,battle,quest",2004-01-10,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000704/', 'name': 'Elijah Wood'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0001557/', 'name': 'Viggo Mortensen'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0005212/', 'name': 'Ian McKellen'}]","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0001392/', 'name': 'Peter Jackson'}]","[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0046718/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0046203/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0061706/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0866058/', 'name': 'J.R.R. Tolkien'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0909638/', 'name': 'Fran Walsh'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0101991/', 'name': 'Philippa Boyens'}]",201,232.0,94.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"['Adventure Epic', 'Fantasy Epic', 'Mountain Adventure', 'Quest', 'Sword & Sorcery', 'Tragedy', 'Action', 'Adventure', 'Drama', 'Fantasy']",94000000.0,USD,381878219.0,USD
8,Movie,https://www.imdb.com/title/tt0110912/,Pulp Fiction,https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",8.9,2253077,D,"['Crime', 'Drama']","nonlinear timeline,overdose,rape,car accident,anal rape",1994-10-14,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000237/', 'name': 'John Travolta'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000235/', 'name': 'Uma Thurman'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000168/', 'name': 'Samuel L. Jackson'}]","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000233/', 'name': 'Quentin Tarantino'}]","[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0022594/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0019267/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0010434/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000233/', 'name': 'Quentin Tarantino'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000812/', 'name': 'Roger Avary'}]",154,86.0,95.0,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","['Drug Crime', 'Gangster', 'Crime', 'Drama']",8000000.0,USD,107928762.0,USD
9,Movie,https://www.imdb.com/title/tt0120737/,The Lord of the Rings: The Fellowship of the Ring,https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,8.9,2035733,PG-13,"['Action', 'Adventure', 'Drama']","ring,quest,middle earth,hobbit,elf",2002-03-22,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000704/', 'name': 'Elijah Wood'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0005212/', 'name': 'Ian McKellen'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0089217/', 'name': 'Orlando Bloom'}]","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0001392/', 'name': 'Peter Jackson'}]","[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0046718/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0046203/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0614377/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0866058/', 'name': 'J.R.R. Tolkien'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0909638/', 'name': 'Fran Walsh'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0101991/', 'name': 'Philippa Boyens'}]",178,96.0,92.0,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"['Adventure Epic', 'Fantasy Epic', 'Quest', 'Sword & Sorcery', 'Action', 'Adventure', 'Drama', 'Fantasy']",93000000.0,USD,319372078.0,USD
10,Movie,https://www.imdb.com/title/tt0060196/,"Il buono, il brutto, il cattivo",https://m.media-amazon.com/images/M/MV5BMWM5ZjQxM2YtNDlmYi00ZDNhLWI4MWUtN2VkYjBlMTY1ZTkwXkEyXkFqcGc@._V1_.jpg,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,8.8,821847,R,"['Adventure', 'Drama', 'Western']","shootout,spaghetti western,civil war,third in trilogy,man with no name",1966-12-23,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000142/', 'name': 'Clint Eastwood'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0908919/', 'name': 'Eli Wallach'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0001812/', 'name': 'Lee Van Cleef'}]","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0001466/', 'name': 'Sergio Leone'}]","[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0013844/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0046114/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0002257/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0898812/', 'name': 'Luciano Vincenzoni'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0001466/', 'name': 'Sergio Leone'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0408488/', 'name': 'Agenore Incrocci'}]",161,394.0,90.0,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"['Desert Adventure', 'Quest', 'Spaghetti Western', 'Western Epic', 'Adventure', 'Drama', 'Western']",1200000.0,USD,25100000.0,USD
