Category: All categories

Day,nike: (United States)
2024-04-28,86
2024-04-29,74
2024-04-30,72
2024-05-01,73
2024-05-02,73
2024-05-03,78
2024-05-04,84
2024-05-05,85
2024-05-06,74
2024-05-07,71
2024-05-08,68
2024-05-09,73
2024-05-10,71
2024-05-11,84
2024-05-12,87
2024-05-13,73
2024-05-14,72
2024-05-15,69
2024-05-16,70
2024-05-17,69
2024-05-18,81
2024-05-19,85
2024-05-20,72
2024-05-21,70
2024-05-22,70
2024-05-23,70
2024-05-24,71
2024-05-25,85
2024-05-26,85
2024-05-27,85
2024-05-28,71
2024-05-29,69
2024-05-30,68
2024-05-31,66
2024-06-01,77
2024-06-02,82
2024-06-03,72
2024-06-04,72
2024-06-05,72
2024-06-06,70
2024-06-07,69
2024-06-08,83
2024-06-09,84
2024-06-10,74
2024-06-11,72
2024-06-12,74
2024-06-13,69
2024-06-14,74
2024-06-15,78
2024-06-16,85
2024-06-17,71
2024-06-18,66
2024-06-19,69
2024-06-20,70
2024-06-21,71
2024-06-22,79
2024-06-23,77
2024-06-24,70
2024-06-25,68
2024-06-26,68
2024-06-27,69
2024-06-28,75
2024-06-29,75
2024-06-30,80
2024-07-01,74
2024-07-02,74
2024-07-03,75
2024-07-04,73
2024-07-05,70
2024-07-06,81
2024-07-07,81
2024-07-08,71
2024-07-09,77
2024-07-10,79
2024-07-11,81
2024-07-12,78
2024-07-13,89
2024-07-14,83
2024-07-15,76
2024-07-16,81
2024-07-17,83
2024-07-18,83
2024-07-19,90
2024-07-20,97
2024-07-21,95
2024-07-22,87
2024-07-23,83
2024-07-24,82
2024-07-25,88
2024-07-26,89
2024-07-27,100
2024-07-28,95
